,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
38,USGS,02085070,2018-11-05 09:15,EST,804,P,4.31,P
39,USGS,02085070,2018-11-05 09:30,EST,818,P,4.35,P
40,USGS,02085070,2018-11-05 09:45,EST,947,P,4.68,P
41,USGS,02085070,2018-11-05 10:00,EST,1220,P,5.29,P
42,USGS,02085070,2018-11-05 10:15,EST,1480,P,5.80,P
43,USGS,02085070,2018-11-05 10:30,EST,1670,P,6.16,P
44,USGS,02085070,2018-11-05 10:45,EST,1760,P,6.35,P
45,USGS,02085070,2018-11-05 11:00,EST,1830,P,6.49,P
46,USGS,02085070,2018-11-05 11:15,EST,1860,P,6.55,P
47,USGS,02085070,2018-11-05 11:30,EST,1850,P,6.53,P
48,USGS,02085070,2018-11-05 11:45,EST,1890,P,6.61,P
49,USGS,02085070,2018-11-05 12:00,EST,1810,P,6.44,P
50,USGS,02085070,2018-11-05 12:15,EST,1780,P,6.39,P
51,USGS,02085070,2018-11-05 12:30,EST,1760,P,6.34,P
52,USGS,02085070,2018-11-05 12:45,EST,1700,P,6.23,P
53,USGS,02085070,2018-11-05 13:00,EST,1690,P,6.21,P
54,USGS,02085070,2018-11-05 13:15,EST,1680,P,6.17,P
55,USGS,02085070,2018-11-05 13:30,EST,1660,P,6.13,P
56,USGS,02085070,2018-11-05 13:45,EST,1650,P,6.12,P
57,USGS,02085070,2018-11-05 14:00,EST,1680,P,6.18,P
58,USGS,02085070,2018-11-05 14:15,EST,1660,P,6.14,P
59,USGS,02085070,2018-11-05 14:30,EST,1680,P,6.18,P
60,USGS,02085070,2018-11-05 14:45,EST,1680,P,6.17,P
61,USGS,02085070,2018-11-05 15:00,EST,1710,P,6.24,P
62,USGS,02085070,2018-11-05 15:15,EST,1690,P,6.19,P
63,USGS,02085070,2018-11-05 15:30,EST,1680,P,6.17,P
64,USGS,02085070,2018-11-05 15:45,EST,1710,P,6.24,P
65,USGS,02085070,2018-11-05 16:00,EST,1680,P,6.17,P
66,USGS,02085070,2018-11-05 16:15,EST,1640,P,6.08,P
67,USGS,02085070,2018-11-05 16:30,EST,1610,P,6.04,P
68,USGS,02085070,2018-11-05 16:45,EST,1590,P,5.99,P
69,USGS,02085070,2018-11-05 17:00,EST,1540,P,5.90,P
70,USGS,02085070,2018-11-05 17:15,EST,1490,P,5.81,P
71,USGS,02085070,2018-11-05 17:30,EST,1450,P,5.74,P
72,USGS,02085070,2018-11-05 17:45,EST,1400,P,5.65,P
73,USGS,02085070,2018-11-05 18:00,EST,1390,P,5.62,P
74,USGS,02085070,2018-11-05 18:15,EST,1350,P,5.55,P
75,USGS,02085070,2018-11-05 18:30,EST,1300,P,5.45,P
76,USGS,02085070,2018-11-05 18:45,EST,1260,P,5.37,P
77,USGS,02085070,2018-11-05 19:00,EST,1240,P,5.34,P
78,USGS,02085070,2018-11-05 19:15,EST,1210,P,5.27,P
79,USGS,02085070,2018-11-05 19:30,EST,1150,P,5.14,P
80,USGS,02085070,2018-11-05 19:45,EST,1130,P,5.10,P
81,USGS,02085070,2018-11-05 20:00,EST,1090,P,5.01,P
82,USGS,02085070,2018-11-05 20:15,EST,1050,P,4.93,P
83,USGS,02085070,2018-11-05 20:30,EST,1040,P,4.91,P
84,USGS,02085070,2018-11-05 20:45,EST,1010,P,4.83,P
85,USGS,02085070,2018-11-05 21:00,EST,993,P,4.79,P
86,USGS,02085070,2018-11-05 21:15,EST,959,P,4.71,P
87,USGS,02085070,2018-11-05 21:30,EST,955,P,4.70,P
88,USGS,02085070,2018-11-05 21:45,EST,922,P,4.62,P
89,USGS,02085070,2018-11-05 22:00,EST,922,P,4.62,P
90,USGS,02085070,2018-11-05 22:15,EST,898,P,4.56,P
91,USGS,02085070,2018-11-05 22:30,EST,882,P,4.52,P
92,USGS,02085070,2018-11-05 22:45,EST,871,P,4.49,P
93,USGS,02085070,2018-11-05 23:00,EST,859,P,4.46,P
94,USGS,02085070,2018-11-05 23:15,EST,852,P,4.44,P
95,USGS,02085070,2018-11-05 23:30,EST,833,P,4.39,P
96,USGS,02085070,2018-11-05 23:45,EST,822,P,4.36,P
97,USGS,02085070,2018-11-06 00:00,EST,808,P,4.32,P
98,USGS,02085070,2018-11-06 00:15,EST,804,P,4.31,P
99,USGS,02085070,2018-11-06 00:30,EST,790,P,4.27,P
100,USGS,02085070,2018-11-06 00:45,EST,779,P,4.24,P
101,USGS,02085070,2018-11-06 01:00,EST,772,P,4.22,P
102,USGS,02085070,2018-11-06 01:15,EST,768,P,4.21,P
103,USGS,02085070,2018-11-06 01:30,EST,755,P,4.18,P
104,USGS,02085070,2018-11-06 01:45,EST,750,P,4.17,P
105,USGS,02085070,2018-11-06 02:00,EST,732,P,4.13,P
106,USGS,02085070,2018-11-06 02:15,EST,728,P,4.12,P
107,USGS,02085070,2018-11-06 02:30,EST,719,P,4.10,P
108,USGS,02085070,2018-11-06 02:45,EST,711,P,4.08,P
109,USGS,02085070,2018-11-06 03:00,EST,702,P,4.06,P
110,USGS,02085070,2018-11-06 03:15,EST,694,P,4.04,P
111,USGS,02085070,2018-11-06 03:30,EST,685,P,4.02,P
112,USGS,02085070,2018-11-06 03:45,EST,685,P,4.02,P
113,USGS,02085070,2018-11-06 04:00,EST,673,P,3.99,P
114,USGS,02085070,2018-11-06 04:15,EST,669,P,3.98,P
115,USGS,02085070,2018-11-06 04:30,EST,656,P,3.95,P
116,USGS,02085070,2018-11-06 04:45,EST,660,P,3.96,P
117,USGS,02085070,2018-11-06 05:00,EST,652,P,3.94,P
118,USGS,02085070,2018-11-06 05:15,EST,644,P,3.92,P
119,USGS,02085070,2018-11-06 05:30,EST,640,P,3.91,P
120,USGS,02085070,2018-11-06 05:45,EST,632,P,3.89,P
121,USGS,02085070,2018-11-06 06:00,EST,624,P,3.87,P
122,USGS,02085070,2018-11-06 06:15,EST,620,P,3.86,P
123,USGS,02085070,2018-11-06 06:30,EST,613,P,3.84,P
124,USGS,02085070,2018-11-06 06:45,EST,609,P,3.83,P
125,USGS,02085070,2018-11-06 07:00,EST,601,P,3.81,P
126,USGS,02085070,2018-11-06 07:15,EST,601,P,3.81,P
127,USGS,02085070,2018-11-06 07:30,EST,594,P,3.79,P
128,USGS,02085070,2018-11-06 07:45,EST,582,P,3.76,P
129,USGS,02085070,2018-11-06 08:00,EST,582,P,3.76,P
130,USGS,02085070,2018-11-06 08:15,EST,575,P,3.74,P
131,USGS,02085070,2018-11-06 08:30,EST,571,P,3.73,P
132,USGS,02085070,2018-11-06 08:45,EST,560,P,3.70,P
133,USGS,02085070,2018-11-06 09:00,EST,560,P,3.70,P
134,USGS,02085070,2018-11-06 09:15,EST,553,P,3.68,P
